
					Numbers 1				|
If her father, hearing of her oath or the undertaking she has given, says nothing to her, then all her oaths and every undertaking she has given will have force.|nếu người cha đã biết lời hứa nguyện nàng, và sự buộc lòng nàng tự chịu lấy, mà đối với nàng vẫn làm thinh, thì nàng phải làm y lời hứa nguyện, và giữ mọi sự buộc lòng mình mà nàng tự chịu lấy.
But if her father, hearing of it, makes her take back her word, then the oaths or the undertakings she has given will have no force; and she will have forgiveness from the Lord, because her oath was broken by her father.|Còn nhược bằng ngày nào cha màng biết mà cấm đi, thì nàng sẽ không mắc lời hứa nguyện mình hay là các sự buộc lòng giữ mà nàng đã tự chịu lấy; Đức Giê-hô-va sẽ tha tội cho nàng, vì cha nàng cấm nàng vậy.
And if she is married to a husband at the time when she is under an oath or an undertaking given without thought;|Nếu người nữ ấy đã kết hôn, hoặc vì hứa nguyện, hoặc vì lời chi lỡ ra khỏi môi mà nàng đã chịu lấy một sự buộc mình,
If her husband, hearing of it, says nothing to her at the time, then the oaths she made and the undertakings she gave will have force.|nhược bằng ngày nào chồng nàng hay mà đối cùng nàng vẫn làm thinh, thì nàng phải làm y lời hứa nguyện, và giữ những sự buộc lòng mình mà nàng tự chịu lấy.
But if her husband, hearing of it, makes her take it back, then the oath she made and the undertaking she gave without thought will have no force or effect, and she will have the Lord's forgiveness.|Còn nếu ngày nào chồng đã biết, cấm nàng đi, hủy lời hứa nguyện mà nàng mắc đó và lời gì lỡ ra khỏi môi, mà vì cớ đó nàng đã buộc lấy mình, thì Đức Giê-hô-va sẽ tha tội cho nàng.
But an oath made by a widow or one who is no longer married to her husband, and every undertaking she has given, will have force.|Lời hứa nguyện của một người đàn bà góa hoặc một người đàn bà bị để, mọi điều chi người đã buộc mình, thì phải giữ lấy.
If she made an oath while she was under the authority of her husband,|Nếu một người đàn bà đã hứa nguyện trong nhà chồng mình, hoặc phát thề buộc lấy lòng mình phải giữ một sự gì,
And her husband, hearing of it, said nothing to her and did not put a stop to it, then all her oaths and every undertaking she gave will have force.|và nếu chồng đã hay, vẫn làm thinh cùng nàng, không cấm, thì nàng phải làm y lời hứa nguyện và giữ mọi sự buộc lòng mà nàng đã tự chịu lấy.
But if her husband, on hearing of it, made them without force or effect, then whatever she has said about her oaths or her undertaking has no force: her husband has made them without effect, and she will have the Lord's forgiveness.|Nhưng nhược bằng ngày nào chồng nàng hay biết, hủy đi, thì mọi lời đã ra khỏi môi về những sự hứa nguyện, và về sự buộc lòng mình sẽ bị hủy đi; chồng nàng đã hủy các lời đó, thì Đức Giê-hô-va sẽ tha tội cho nàng.
Every oath, and every undertaking which she gives, to keep herself from pleasure, may be supported or broken by her husband.|Chồng nàng có thể ưng hay hủy mọi sự hứa nguyện, và mọi lời thề mà nàng sẽ buộc mình đặng ép linh hồn mình.
But if the days go on, and her husband says nothing whatever to her, then he is giving the support of his authority to her oaths and undertakings, because at the time of hearing them he said nothing to her.|Nhược bằng chồng vẫn làm thinh cùng nàng ngày nay qua ngày mai, như vậy chồng ưng các sự hứa nguyện của nàng; chồng ưng, vì không nói chi ngày mà người đã hay biết.
But if at some time after hearing of them, he makes them without force, then he is responsible for her wrongdoing.|Còn nếu chồng hủy các sự hứa nguyện một ít lâu sau khi đã hay biết thì chồng sẽ mang sự hình phạt về tội lỗi của vợ mình.
These are the laws which the Lord gave Moses in relation to a man and his wife, or a father and a young daughter who is under his authority.|Đó là các lệ định mà Đức Giê-hô-va truyền cho Môi-se về một người chồng và vợ mình, một người cha và con gái mình, buổi thơ ấu khi còn ở nhà cha.

					Numbers 31				|
						Dân Số 31					
Then the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Give the Midianites punishment for the wrong they did to the children of Israel: and after that you will go to rest with your people.|Hãy báo thù dân Ma-đi-an cho dân Y-sơ-ra-ên; rồi ngươi sẽ được về cùng tổ phụ.
So Moses said to the people, Let men from among you be armed for war to put into effect against Midian the Lord's punishment on them.|Vậy, Môi-se truyền cho dân sự rằng: Trong các ngươi hãy sắm sửa binh khí mà ra trận hãm đánh dân Ma-đi-an đặng báo thù dân đó cho Đức Giê-hô-va.
From every tribe of Israel send a thousand to the war.|Về mỗi chi phái Y-sơ-ra-ên, các ngươi phải sai một ngàn lính ra trận.
So from the thousands of Israel a thousand were taken from every tribe, twelve thousand men armed for war.|Vậy, trong dân Y-sơ-ra-ên người ta cứ mỗi chi phái chọn một ngàn lính, là mười hai ngàn người sắm sửa binh khí đặng ra trận.
And Moses sent them out to war, a thousand from every tribe, and with them Phinehas, the son of Eleazar the priest, taking in his hands the vessels of the holy place and the horns for sounding the note of war.|Môi-se sai mười hai ngàn người đó ra trận, tức là sai một ngàn người về mỗi chi phái, với Phi-nê -a, con trai của Ê-lê -a-sa, thầy tế lễ, đem đi theo mình, những khí giới thánh cùng kèn có tiếng vang.
And they made war on Midian, as the Lord gave orders to Moses; and they put to death every male.|Vậy, chúng giao chiến cùng dân Ma-đi-an, y như Đức Giê-hô-va đã phán dặn Môi-se, và giết hết thảy nam đinh.
They put the kings of Midian to death with the rest, Evi and Reken and Zur and Hur and Reba, the five kings of Midian: and Balaam, the son of Beor, they put to death with the sword.|Trong các người bị giết chúng cũng giết năm vua Ma-đi-an, là: Ê-vi, Rê-kem, Xu-rơ, Hu-rơ, và Rê-ba; cũng lấy gươm giết Ba-la-am, con trai của Bê-ô.
The women of Midian with their little ones the children of Israel took prisoner; and all their cattle and flocks and all their goods they took for themselves;|Dân Y-sơ-ra-ên bắt đàn bà và con nít Ma-đi-an dẫn theo, cướp hết thảy súc vật, bầy chiên và của cải họ,
And after burning all their towns and all their tent-circles,|đốt hết những thành, nhà ở, và hương thôn chúng nó,
They went away with the goods they had taken, man and beast.|cũng lấy đem theo hết thảy của đoạt được, bất kỳ người hay vật.
And the prisoners and the goods and everything they had taken, they took to Moses and Eleazar the priest and the people of Israel, to the tent-circle in the lowlands of Moab by the Jordan at Jericho.|Chúng dẫn những kẻ bị bắt và những của đoạt được đến cho Môi-se, cho Ê-lê -a-sa, thầy tế lễ, và cho hội dân Y-sơ-ra-ên đương đóng trại tại đồng bằng Mô-áp, gần sông Giô-đanh, đối ngang Giê-ri-cô.
Then Moses and Eleazar the priest and the chiefs of the people went out to them before they had come into the tent-circle.|Bấy giờ, Môi-se, Ê-lê -a-sa, thầy tế lễ, và hết thảy hội trưởng đi ra đón rước chúng binh ngoài trại quân.
And Moses was angry with the chiefs of the army, the captains of thousands and the captains of hundreds who had come back from the war.|Môi-se nổi giận cùng các quân trưởng, tức là quan tướng một ngàn quân và quan tướng một trăm quân đi đánh giặc nầy trở về.
And Moses said to them, Why have you kept all the women safe?|Môi-se nói cùng họ rằng: Các ngươi để hết thảy người nữ còn sống sao?
It was these who, moved by Balaam, were the cause of Israel's sin against the Lord in the question of Peor, because of which disease came on the people of the Lord.|Kìa, ấy là chúng nó theo mưu kế của Ba-la-am mà dụ dỗ dân Y-sơ-ra-ên cùng thờ Phê-ô, và phạm một tội trọng cùng Đức Giê-hô-va; và tội đó xui cho hội chúng của Đức Giê-hô-va bị tai vạ.
So now put every male child to death, and every woman who has had sex relations with a man.|Vậy bây giờ, hãy giết hết thảy nam đinh trong bọn con trẻ, và giết người nữ nào đã kết bạn cùng một người nam;
But all the female children who have had no sex relations with men, you may keep for yourselves.|nhưng hãy để sống cho các ngươi hết thảy con gái chưa hề kết bạn cùng người nam.
You yourselves will have to keep outside the tent-circle for seven days, anyone of you who has put any person to death or come near a dead body; and on the third day and on the seventh day make yourselves and your prisoners clean.|Còn về phần các ngươi, hãy đóng trại ngoài trại quân trong bảy ngày. Ai có giết một người và có đụng đến một xác chết, thì ai đó cùng kẻ bị bắt, phải dọn cho mình được sạch ngày thứ ba và ngày thứ bảy.
